Date,AAPL,MSFT,LLY,NVO,JPM,V,AMZN,TSLA,WMT,COST,BP,EQNR,GE,CAT,LIN,BHP,NEE,SO,PLD,AMT,GOOGL,META
2023-12-11,-0.013,-0.0079,-0.0237,0.0001,0.0037,0.003,-0.0104,-0.017,0.0025,0.0212,-0.0048,-0.0157,-0.0026,0.0055,0.0172,-0.0063,0.0002,-0.002,0.0178,-0.0041,-0.0127,-0.0227
2023-12-12,0.0079,0.0083,0.0012,-0.0046,0.0089,0.0118,0.0108,-0.0115,0.0008,0.009,-0.0106,-0.006,0.0168,0.002,0.0443,0.0013,-0.0032,-0.0126,0.0006,-0.0027,-0.0058,0.0271
2023-12-13,0.0166,-0.0,0.0216,0.0276,0.0034,0.0108,0.0092,0.0096,0.0176,0.0197,0.0077,0.0236,-0.0094,0.0247,-0.043,0.0301,0.049,0.0364,0.0571,0.0288,0.0004,0.0016
2023-12-14,0.0008,-0.0228,-0.0407,-0.0091,0.018,-0.014,-0.0096,0.048,-0.0123,-0.0176,0.0217,0.0237,0.0014,0.0622,0.0024,0.0228,0.0043,-0.0219,0.0592,0.0053,-0.0048,-0.0047
2023-12-15,-0.0027,0.013,-0.0028,-0.0092,0.0075,-0.0027,0.0171,0.0097,0.0037,0.0435,-0.028,-0.0234,0.0154,0.002,-0.0057,0.004,-0.0206,-0.009,-0.0147,-0.0001,0.005,0.0052
2023-12-18,-0.0085,0.0052,0.0134,0.0192,0.006,0.0013,0.027,-0.0056,0.0145,0.0335,0.0089,0.0272,0.0033,-0.0001,0.0042,0.0045,-0.0082,0.0079,-0.0118,-0.0069,0.0238,0.0286
2023-12-19,0.0053,0.0016,0.0001,0.0102,0.0133,0.0063,-0.0018,0.0202,0.0036,-0.0052,0.0079,-0.0016,0.0184,0.0251,0.0073,0.0168,0.0093,-0.0022,0.008,0.0015,0.0062,0.0165
2023-12-20,-0.0108,-0.0071,-0.0167,0.0131,-0.0113,-0.0111,-0.0109,-0.04,-0.0118,-0.025,-0.0108,-0.0182,-0.0206,-0.0112,-0.014,-0.0177,-0.0285,-0.0223,-0.0248,0.0005,0.0123,-0.0031
2023-12-21,-0.0008,0.0078,0.0031,0.0212,0.0057,0.0094,0.0112,0.0293,0.0071,0.0063,0.0125,0.0163,0.0288,0.0012,0.0068,0.0263,-0.004,-0.0046,0.0037,0.0149,0.0149,0.0137
2023-12-22,-0.0056,0.0028,-0.0028,-0.0075,-0.0006,-0.0043,-0.0027,-0.0077,0.0119,0.0096,-0.0037,0.0051,-0.0022,0.001,0.0039,0.0004,0.0025,0.001,0.0109,0.0042,0.0076,-0.002
